dataset,dataset_id,sub_heading,data_element,data_element_code,data_element_id
SECTION 1,,,Facility ID,sec1_1,
SECTION 1,,,Facility Name,sec1_2,
SECTION 1,,,Taluka,sec1_3,
SECTION 1,,,Name & Signature  of Facility In-charge,sec1_4,
SECTION 1,,,Designation,sec1_5,
SECTION 2,1,,Total OPD Attendacne - Monthly target,sec2_1_1,
SECTION 2,1,,Total OPD Attendacne - Performance,sec2_1_2,
SECTION 2,2,,Children <12 months received 1st Measles vaccine  -Montly target,sec2_2_1,
SECTION 2,2,,Children <12 months received 1st Measles vaccine -Performance,sec2_2_2,
SECTION 2,3,,Antenatal Care (ANC-I) coverage  - Montly target,sec2_3_1,
SECTION 2,3,,Antenatal Care (ANC-I) coverage -Perfomance,sec2_3_2,
SECTION 2,4,,Total FP clients (New + Follow-up) - Montly target                                                              ,         sec2_4_1        ,
SECTION 2,4,,Total FP clients (New + Follow-up)  - Perfomance                                                              ,sec2_4_2,
SECTION 2,5,,Delivery coverage at facility - Montly target,sec2_5_1,
SECTION 2,5,,Delivery coverage at facility - Perfomance,         sec2_5_2        ,
SECTION 2,6,,Monthly report data accuarcy - Montly target,sec2_6_1,
SECTION 2,6,,Monthly report data accuarcy - Perfomance,sec2_6_2,
SECTION 3,1,,Male (New Cases),sec3_1,
SECTION 3,2,,Female (New Cases),sec3_2,
SECTION 3,3,,Follow-up cases,sec3_3,
SECTION 3,4,,Referred cases attanded,           sec3_4,
SECTION 3,5,,"No. of cases of Malnutrition < 5 yrs
children (Acute (low weight for age)",sec3_5,
SECTION 3,6,,No. of Malnutrition < 5 yrs Children (Acute - MUAC < 1.25 cm),sec3_6,
SECTION 3,7,,"No. of cases of Malnutrition < 5 yrs
children (Chronic (short height for age)",sec3_7,
SECTION 3,8,,Total Homeo cases,sec3_8,
SECTION 3,9,,Total Tibb/Unani,sec3_9,
SECTION 4,1,Respiratory Diseases,Acute (upper) repiratory infections,sec4_1,
SECTION 4,2,Respiratory Diseases,Pneumonia < 5 yrs,sec4_2,
SECTION 4,3,Respiratory Diseases,Pneumonia > 5 yrs,sec4_3,
SECTION 4,4,Respiratory Diseases,TB Suspects,sec4_4,
SECTION 4,5,Respiratory Diseases,Chronic Obstructive Pulomonary Diseases,sec4_5,
SECTION 4,6,Respiratory Diseases,Asthma,sec4_6,
SECTION 4,7,Gastro Intestinal Diseases,Diarrhea < 5 yrs ,sec4_7,
SECTION 4,8,Gastro Intestinal Diseases,Dysentery < 5 yrs ,sec4_8,
SECTION 4,9,Gastro Intestinal Diseases,Diarrhea/Dysentery > 5 yrs,sec4_9,
SECTION 4,10,Gastro Intestinal Diseases,Enteric/Typhoid Fever,sec4_10,
SECTION 4,11,Gastro Intestinal Diseases,Worm Intestations,sec4_11,
SECTION 4,12,Gastro Intestinal Diseases,Peptic Acid Diseases,sec4_12,
SECTION 4,13,Gastro Intestinal Diseases,Biliary Disorders,sec4_13,
SECTION 4,14,Urinary Tract Diseases,Urinary Tract Infections ,sec4_14,
SECTION 4,15,Urinary Tract Diseases,Renal Calculi,sec4_15,
SECTION 4,16,Urinary Tract Diseases,End Stage Renal Dieases (ESRD),sec4_16,
SECTION 4,17,Urinary Tract Diseases,Sexually Transmitted Infections (STIs),sec4_17,
SECTION 4,18,Urinary Tract Diseases,Bening Enlargement of Prostrate,sec4_18,
SECTION 4,19,Vector Borne Diseases,Suspected Malaria ,sec4_19,
SECTION 4,20,Vector Borne Diseases,Suspected Dengue Fever,sec4_20,
SECTION 4,21,Vector Borne Diseases,Suspected Chikungunya,sec4_21,
SECTION 4,22,Vector Borne Diseases,Suspected Cutaneous Leishmaniasis,sec4_22,
SECTION 4,23,Vector Borne Diseases,Suspected Measles,sec4_23,
SECTION 4,24,Vector Borne Diseases,Suspected Viral Hepatitis,sec4_24,
SECTION 4,25,Vector Borne Diseases,Suspected Neonatal Tetanus,sec4_25,
SECTION 4,26,Cardiovascular Dieases,Ischemic Heart Diease,sec4_26,
SECTION 4,27,Cardiovascular Dieases,Hypertension,sec4_27,
SECTION 4,28,Skin Dieases,Scabies,sec4_28,
SECTION 4,29,Skin Dieases,Dermatitis,sec4_29,
SECTION 4,30,Skin Dieases,Fungal Infection,sec4_30,
SECTION 4,31,Skin Dieases,Impetigo,sec4_31,
SECTION 4,32,Endocrine Dieases,Diabbetes Mellitus,sec4_32,
SECTION 4,33,Endocrine Dieases,Goiter,sec4_33,
SECTION 4,34,Endocrine Dieases,Hypo Thyroidism,sec4_34,
SECTION 4,35,Endocrine Dieases,Hyper Thyroidism,sec4_35,
SECTION 4,36,Neuro-Psychiatric Diseases,Depression,sec4_36,
SECTION 4,37,Neuro-Psychiatric Diseases,Drug Dependance,sec4_37,
SECTION 4,38,Neuro-Psychiatric Diseases,Epilepsy,sec4_38,
SECTION 4,39,Neuro-Psychiatric Diseases,Children/adolescent with abnormal behavior,sec4_39,
SECTION 4,40,Eye & ENT,Cataract,sec4_40,
SECTION 4,41,Eye & ENT,Trachoma,sec4_41,
SECTION 4,42,Eye & ENT,Glaucoma,sec4_42,
SECTION 4,43,Eye & ENT,Conjunctivitis,sec4_43,
SECTION 4,44,Eye & ENT,Otitis Media,sec4_44,
SECTION 4,45,Oro - Dental Diseases,Dental Caries,sec4_45,
SECTION 4,46,Oro - Dental Diseases,Periodontitis,sec4_46,
SECTION 4,47,Oro - Dental Diseases,Sub Mucosal Fibrosis,sec4_47,
SECTION 4,48,Oro - Dental Diseases,Oral Ulcers,sec4_48,
